rank,book,page,image_path,scripts,layout_type,chant_rows,lyric_rows,voice_ratio,multi_voice?,n_classes,cumulative_classes
1,Holy Week,110,data/pages_full/Holy Week/page_0110.png,Arabic+Greek,dense_multi_row,6,6,1.0,,29,29
2,Holy Week,277,data/pages_full/Holy Week/page_0277.png,Arabic+Latin,dense_multi_row,10,10,1.0,,31,38
3,Holy Week,109,data/pages_full/Holy Week/page_0109.png,Arabic+Greek+Latin,dense_multi_row,6,6,1.0,,26,41
4,Holy Week,279,data/pages_full/Holy Week/page_0279.png,Greek+Latin,dense_multi_row,5,5,1.0,,30,44
5,Holy Week,278,data/pages_full/Holy Week/page_0278.png,Greek+Latin,dense_multi_row,11,11,1.0,,34,49
6,Mass,445,data/pages_full/Mass/page_0445.png,Greek+Latin,dense_multi_row,5,5,1.0,,34,56
7,Holy Week,185,data/pages_full/Holy Week/page_0185.png,Arabic+Greek+Latin,dense_multi_row,6,6,1.0,,29,59
8,Mass,449,data/pages_full/Mass/page_0449.png,Arabic+Greek,dense_multi_row,6,5,1.2,,37,62
9,Mass,124,data/pages_full/Mass/page_0124.png,Arabic+Greek+Latin,dense_multi_row,5,4,1.25,,29,63
10,Mass,417,data/pages_full/Mass/page_0417.png,Greek+Latin,dense_multi_row,8,7,1.14,,30,65
11,Mass,208,data/pages_full/Mass/page_0208.png,Arabic+Greek,dense_multi_row,5,5,1.0,,31,66
12,Mass,427,data/pages_full/Mass/page_0427.png,Arabic+Greek+Latin,dense_multi_row,5,5,1.0,,30,67
13,Mass,86,data/pages_full/Mass/page_0086.png,Arabic+Greek,dense_multi_row,6,6,1.0,,29,68
14,Mass,126,data/pages_full/Mass/page_0126.png,Arabic+Greek,dense_multi_row,8,8,1.0,,31,69
15,Mass,125,data/pages_full/Mass/page_0125.png,Arabic+Greek,dense_multi_row,8,5,1.6,yes,29,70
16,Holy Week,317,data/pages_full/Holy Week/page_0317.png,Arabic+Greek+Latin,dense_multi_row,4,4,1.0,,20,71
17,Holy Week,195,data/pages_full/Holy Week/page_0195.png,Arabic+Greek+Latin,dense_multi_row,6,6,1.0,,32,72
18,Mass,9,data/pages_full/Mass/page_0009.png,Arabic+Greek,dense_multi_row,5,5,1.0,,26,72
19,Mass,458,data/pages_full/Mass/page_0458.png,Arabic+Latin,dense_multi_row,6,6,1.0,,34,72
20,Mass,70,data/pages_full/Mass/page_0070.png,Arabic+Latin,dense_multi_row,6,6,1.0,,31,72
21,Holy Week,397,data/pages_full/Holy Week/page_0397.png,Arabic+Latin,dense_multi_row,7,7,1.0,,36,72
22,Holy Week,227,data/pages_full/Holy Week/page_0227.png,Arabic+Latin,dense_multi_row,5,5,1.0,,28,72
23,Holy Week,22,data/pages_full/Holy Week/page_0022.png,Arabic+Latin,dense_multi_row,4,4,1.0,,21,72
24,Holy Week,65,data/pages_full/Holy Week/page_0065.png,Arabic+Greek,dense_multi_row,7,7,1.0,,27,72
25,Mass,469,data/pages_full/Mass/page_0469.png,Arabic+Latin,dense_multi_row,7,5,1.4,,31,72
26,Mass,68,data/pages_full/Mass/page_0068.png,Arabic+Greek,dense_multi_row,8,8,1.0,,30,72
27,Mass,51,data/pages_full/Mass/page_0051.png,Arabic+Greek,dense_multi_row,4,4,1.0,,29,72
28,Mass,60,data/pages_full/Mass/page_0060.png,Arabic+Greek,dense_multi_row,6,5,1.2,,28,72
